iter	Passed	Remaining
903	42574	4521
904	42624	4474
905	42672	4427
906	42722	4380
907	42772	4333
908	42822	4286
909	42871	4240
910	42919	4193
911	42968	4146
912	43017	4099
913	43066	4052
914	43116	4005
915	43165	3958
916	43214	3911
917	43263	3864
918	43311	3817
919	43359	3770
920	43408	3723
921	43456	3676
922	43506	3629
923	43554	3582
924	43603	3535
925	43651	3488
926	43701	3441
927	43755	3394
928	43805	3347
929	43853	3300
930	43902	3253
931	43950	3206
932	43999	3159
933	44047	3112
934	44101	3065
935	44150	3018
936	44199	2971
937	44248	2924
938	44297	2877
939	44345	2830
940	44394	2783
941	44443	2736
942	44493	2689
943	44553	2642
944	44600	2595
945	44650	2548
946	44700	2501
947	44750	2454
948	44798	2407
949	44846	2360
950	44895	2313
951	44943	2266
952	44992	2218
953	45040	2171
954	45088	2124
955	45136	2077
956	45184	2030
957	45242	1983
958	45290	1936
959	45340	1889
960	45389	1842
961	45447	1795
962	45496	1748
963	45545	1700
964	45704	1657
965	45774	1611
966	45825	1563
967	45875	1516
968	45939	1469
969	45989	1422
970	46041	1375
971	46091	1327
972	46140	1280
973	46189	1232
974	46240	1185
975	46288	1138
976	46336	1090
977	46387	1043
978	46437	996
979	46488	948
980	46538	901
981	46590	853
982	46638	806
983	46694	759
984	46745	711
985	46796	664
986	46846	617
987	46896	569
988	46945	522
989	46995	474
990	47045	427
991	47097	379
992	47156	332
993	47208	284
994	47257	237
995	47308	189
996	47358	142
997	47408	95
998	47459	47
999	47510	0
