iter	Logloss
0	0.69222927
1	0.6913787204
2	0.6902439983
3	0.6891820742
4	0.6882317521
5	0.6874834725
6	0.68665728
7	0.686176957
8	0.6853337853
9	0.6846904577
10	0.6840741245
11	0.6835311857
12	0.683021759
13	0.6825679917
14	0.682222927
15	0.6818661801
16	0.6815187016
17	0.6811749368
18	0.6807825533
19	0.6806201507
20	0.6803056752
21	0.6800654755
22	0.6798496359
23	0.6795810435
24	0.6793867725
25	0.679325193
26	0.6793234616
27	0.6790993083
28	0.6789112559
29	0.6787014652
30	0.6784245247
31	0.6782031563
32	0.6780574851
33	0.67773603
34	0.6775177213
35	0.6774331491
36	0.6771925315
37	0.6769370143
38	0.676894684
39	0.6767136883
40	0.6764141164
41	0.6760031107
42	0.6758992558
43	0.6757979737
44	0.6756850047
45	0.6756661623
46	0.6756557097
47	0.6755052343
48	0.6753849733
49	0.6751122946
50	0.6751066128
51	0.6750623968
52	0.6748369431
53	0.6746649344
54	0.6745167185
55	0.674516105
56	0.6743748988
57	0.6742213657
58	0.6741218839
59	0.6738690987
60	0.6735558841
61	0.6735543214
62	0.6733880111
63	0.6733247958
64	0.6732709121
65	0.6731155567
66	0.6728630984
67	0.6727574125
68	0.6725807238
69	0.6724566468
70	0.6724300269
71	0.6723958063
72	0.6722383794
73	0.6721445483
74	0.6721204766
75	0.6719606334
76	0.6716994346
77	0.671419337
78	0.6714185832
79	0.6714152329
80	0.6713428879
81	0.6711750498
82	0.6709804143
83	0.6709773166
84	0.6706759478
85	0.6706009567
86	0.6705385033
87	0.6704436352
88	0.6702329596
89	0.6702259636
90	0.6702016328
91	0.6701161743
92	0.669924374
93	0.6696571056
94	0.669591542
95	0.6694572005
96	0.6691938471
97	0.6691304738
98	0.6690356804
99	0.6689690335
100	0.6689472768
101	0.6688307798
102	0.6685161345
103	0.6683445925
104	0.6681265573
105	0.6680252284
106	0.6677014152
107	0.667691149
108	0.6676911271
109	0.6675483817
110	0.6672242907
111	0.6671676095
112	0.6671599935
113	0.6671562071
114	0.6669314164
115	0.6668458432
116	0.6667488819
117	0.6665577341
118	0.6664068843
119	0.66634547
120	0.6663375328
121	0.6661639971
122	0.6660827803
123	0.6660073859
124	0.6658990294
125	0.6658245842
126	0.6658244883
127	0.6656571017
128	0.6654431565
129	0.6654409947
130	0.665392881
131	0.6651648114
132	0.6648903513
133	0.664836195
134	0.664672691
135	0.6646397768
136	0.6644330396
137	0.6641893981
138	0.6640314586
139	0.6639162773
140	0.6636907806
141	0.6636853686
142	0.6636713658
143	0.6634876835
144	0.6633526595
145	0.6631295276
146	0.662939065
147	0.6629390605
148	0.6626263171
149	0.6624939018
150	0.662325267
151	0.6622788405
152	0.6622027585
153	0.6621307803
154	0.6618770242
155	0.6616336804
156	0.6616233765
157	0.6614155652
158	0.6612841502
159	0.6610692187
160	0.6610646748
161	0.6608068809
162	0.6605441513
163	0.6602926852
164	0.660172697
165	0.6601041593
166	0.6600121646
167	0.6599153989
168	0.6598213273
169	0.659696487
170	0.6596220395
171	0.6595679563
172	0.6593840017
173	0.6593374184
174	0.6593183567
175	0.6591715293
176	0.6590187037
177	0.6588312414
178	0.6588190282
179	0.6586694721
180	0.6586664979
181	0.6586012888
182	0.658295121
183	0.6582726639
184	0.6582369026
185	0.6582080267
186	0.6582080263
187	0.6580856806
188	0.6580712818
189	0.6578876073
190	0.6577026954
191	0.6576012698
192	0.6574693974
193	0.6573438744
194	0.6569826243
195	0.656981751
196	0.6567608013
197	0.6567214116
198	0.6566982987
199	0.6566834482
200	0.6566288497
201	0.6563837699
202	0.6561039583
203	0.6561039578
204	0.6560762954
205	0.6558615562
206	0.6558614918
207	0.6558608776
208	0.6558435258
209	0.6558435257
210	0.6558328096
211	0.6557570713
212	0.6556402661
213	0.6554565936
214	0.6552403046
215	0.6550973132
216	0.6549963395
217	0.6549845783
218	0.6549369157
219	0.6548096159
220	0.6546911372
221	0.6545442006
222	0.6544204889
223	0.6542518218
224	0.6541923333
225	0.6541642529
226	0.6541190269
227	0.6539815562
228	0.6538210725
229	0.6537346735
230	0.6535884481
231	0.653534597
232	0.6534879566
233	0.6534341462
234	0.653132572
235	0.6529461243
236	0.6527711262
237	0.6527555756
238	0.6527060745
239	0.6526260034
240	0.652546607
241	0.6523954113
242	0.6522986939
243	0.6519330449
244	0.6518287935
245	0.6517668878
246	0.6516609992
247	0.6516079868
248	0.6514059873
249	0.6513980408
250	0.651283958
251	0.6510964157
252	0.6509935359
253	0.6509014083
254	0.6508237576
255	0.650667924
256	0.6505060002
257	0.6504843251
258	0.6503190051
259	0.6501924584
260	0.6500528933
261	0.6499812701
262	0.6499716328
263	0.6498088945
264	0.6496665445
265	0.6495893424
266	0.6494691695
267	0.649326802
268	0.6492384393
269	0.6490827277
270	0.6490215747
271	0.6488671898
272	0.6487061187
273	0.6483088183
274	0.6482479447
275	0.6481243357
276	0.6481031101
277	0.6479667639
278	0.6479599001
279	0.6478876623
280	0.6478020801
281	0.6476445015
282	0.6473821799
283	0.6472859292
284	0.6472376156
285	0.6472115984
286	0.6472067565
287	0.6470373576
288	0.6470072698
289	0.6469259454
290	0.6469182458
291	0.6467299775
292	0.6465674389
293	0.6462854966
294	0.6460700009
295	0.6457691421
296	0.6456503254
